File,Function,LOC,SLOC-P,SLOC-L,MVG,BLOC,C&SLOC,CLOC,CWORD
D:\v-tianw\projects\redisclient\redisbuffer.h,RedisBuffer::RedisBuffer(),1,1,1,0,0,0,0,0,
D:\v-tianw\projects\redisclient\redisbuffer.h,"RedisBuffer::RedisBuffer(const char *ptr, size_t dataSize)",1,1,1,0,0,0,0,0,
D:\v-tianw\projects\redisclient\redisbuffer.h,RedisBuffer::RedisBuffer(const char *s),1,1,1,0,0,0,0,0,
D:\v-tianw\projects\redisclient\redisbuffer.h,RedisBuffer::RedisBuffer(const std::string &s),1,1,1,0,0,0,0,0,
D:\v-tianw\projects\redisclient\redisbuffer.h,RedisBuffer::RedisBuffer(const std::vector<char> &buf),1,1,1,0,0,0,0,0,
D:\v-tianw\projects\redisclient\redisbuffer.h,RedisBuffer::size() const,2,2,2,1,0,0,0,0,
D:\v-tianw\projects\redisclient\redisbuffer.h,RedisBuffer::data() const,2,2,2,1,0,0,0,0,
D:\v-tianw\projects\redisclient\redisvalue.h,RedisValue::castTo() const,5,5,3,3,0,0,0,0,
D:\v-tianw\projects\redisclient\redisvalue.h,RedisValue::typeEq() const,5,5,3,3,0,0,0,0,
D:\v-tianw\projects\redisclient\impl\redisasyncclient.cpp,RedisAsyncClient::RedisAsyncClient(boost::asio::io_service &ioService),3,3,2,0,0,0,0,0,
D:\v-tianw\projects\redisclient\impl\redisasyncclient.cpp,RedisAsyncClient::~RedisAsyncClient(),2,2,2,0,0,0,0,0,
D:\v-tianw\projects\redisclient\impl\redisasyncclient.cpp,"RedisAsyncClient::connect(const boost::asio::ip::address &address, unsigned short port, const boost::function<void(bool, const std::string &)> &handler)",3,3,3,0,0,0,0,0,
D:\v-tianw\projects\redisclient\impl\redisasyncclient.cpp,"RedisAsyncClient::connect(const boost::asio::ip::tcp::endpoint &endpoint, const boost::function<void(bool, const std::string &)> &handler)",3,3,2,0,0,0,0,0,
D:\v-tianw\projects\redisclient\impl\redisasyncclient.cpp,RedisAsyncClient::isConnected() const,3,3,2,1,0,0,0,0,
D:\v-tianw\projects\redisclient\impl\redisasyncclient.cpp,RedisAsyncClient::disconnect(),2,2,2,0,0,0,0,0,
D:\v-tianw\projects\redisclient\impl\redisasyncclient.cpp,RedisAsyncClient::installErrorHandler( const boost::function<void(const std::string &)> &handler),2,2,2,0,0,0,0,0,
D:\v-tianw\projects\redisclient\impl\redisasyncclient.cpp,"RedisAsyncClient::command(const std::string &s, const boost::function<void(const RedisValue &)> &handler)",9,8,5,1,1,0,0,0,
D:\v-tianw\projects\redisclient\impl\redisasyncclient.cpp,"RedisAsyncClient::command(const std::string &cmd, const RedisBuffer &arg1, const boost::function<void(const RedisValue &)> &handler)",10,9,6,1,1,0,0,0,
D:\v-tianw\projects\redisclient\impl\redisasyncclient.cpp,"RedisAsyncClient::command(const std::string &cmd, const RedisBuffer &arg1, const RedisBuffer &arg2, const boost::function<void(const RedisValue &)> &handler)",11,10,7,1,1,0,0,0,
D:\v-tianw\projects\redisclient\impl\redisasyncclient.cpp,"RedisAsyncClient::command(const std::string &cmd, const RedisBuffer &arg1, const RedisBuffer &arg2, const RedisBuffer &arg3, const boost::function<void(const RedisValue &)> &handler)",12,11,8,1,1,0,0,0,
D:\v-tianw\projects\redisclient\impl\redisasyncclient.cpp,"RedisAsyncClient::command(const std::string &cmd, const RedisBuffer &arg1, const RedisBuffer &arg2, const RedisBuffer &arg3, const RedisBuffer &arg4, const boost::function<void(const RedisValue &)> &handler)",13,12,9,1,1,0,0,0,
D:\v-tianw\projects\redisclient\impl\redisasyncclient.cpp,"RedisAsyncClient::command(const std::string &cmd, const RedisBuffer &arg1, const RedisBuffer &arg2, const RedisBuffer &arg3, const RedisBuffer &arg4, const RedisBuffer &arg5, const boost::function<void(const RedisValue &)> &handler)",14,13,10,1,1,0,0,0,
D:\v-tianw\projects\redisclient\impl\redisasyncclient.cpp,"RedisAsyncClient::command(const std::string &cmd, const RedisBuffer &arg1, const RedisBuffer &arg2, const RedisBuffer &arg3, const RedisBuffer &arg4, const RedisBuffer &arg5, const RedisBuffer &arg6, const boost::function<void(const RedisValue &)> &handler)",15,14,11,1,1,0,0,0,
D:\v-tianw\projects\redisclient\impl\redisasyncclient.cpp,"RedisAsyncClient::command(const std::string &cmd, const RedisBuffer &arg1, const RedisBuffer &arg2, const RedisBuffer &arg3, const RedisBuffer &arg4, const RedisBuffer &arg5, const RedisBuffer &arg6, const RedisBuffer &arg7, const boost::function<void(const RedisValue &)> &handler)",16,15,12,1,1,0,0,0,
D:\v-tianw\projects\redisclient\impl\redisasyncclient.cpp,"RedisAsyncClient::command(const std::string &cmd, const std::list<RedisBuffer> &args, const boost::function<void(const RedisValue &)> &handler)",12,10,7,1,2,0,0,0,
D:\v-tianw\projects\redisclient\impl\redisasyncclient.cpp,"RedisAsyncClient::subscribe( const std::string &channel, const boost::function<void(const std::vector<char> &msg)> &msgHandler, const boost::function<void(const RedisValue &)> &handler)",31,24,18,3,7,0,0,0,
D:\v-tianw\projects\redisclient\impl\redisasyncclient.cpp,RedisAsyncClient::unsubscribe(const Handle &handle),55,44,24,3,9,0,2,6,
